"","L","T","W","win_perc"
"Emory",1,0,0,1
"ETSU",20,1,10,0.661290322580645
"Evansville",55,10,37,0.588235294117647
"Fairfield",51,16,33,0.59
"Fairleigh Dickinson",55,7,37,0.590909090909091
"FGCU",38,3,7,0.822916666666667
"Findlay",0,0,1,0
"FIU",46,7,46,0.5
"Fla. Atlantic",53,12,45,0.536363636363636
"Fla. Gulf Coast",28,6,11,0.688888888888889
"Fla. Southern",1,0,0,1
"Flagler",1,0,0,1
"Florida",106,5,19,0.834615384615385
"Florida St.",130,6,10,0.910958904109589
"Fordham",61,15,27,0.66504854368932
"Fort Wayne",3,2,15,0.2
"Francis Marion",10,2,10,0.5
"Fresno Pacific",0,0,1,0
"Fresno St.",52,8,37,0.577319587628866
"Furman",74,9,27,0.713636363636364
"Ga. Southern",36,13,47,0.442708333333333
"Ga. Southwestern",0,0,1,0
"Gardner-Webb",38,16,44,0.469387755102041
"George Mason",63,2,46,0.576576576576577
"George Washington",60,8,37,0.60952380952381
"Georgetown",93,13,20,0.78968253968254
"Georgia",65,8,43,0.594827586206897
"Georgia St.",44,14,38,0.53125
"Gonzaga",49,9,50,0.49537037037037
"Grambling",32,3,47,0.408536585365854
"Grand Canyon",20,6,16,0.547619047619048
"Green Bay",29,15,46,0.405555555555556
"Greensboro",1,0,0,1
"Hampton",0,0,8,0
"Harding",3,1,2,0.583333333333333
"Hartford",60,19,32,0.626126126126126
"Harvard",61,15,24,0.685
"Hawaii",50,12,48,0.509090909090909
"Hendrix",1,1,1,0.5
"High Point",55,15,26,0.651041666666667
"Hofstra",78,7,20,0.776190476190476
"Hollins",0,0,1,0
"Holy Cross",31,17,60,0.365740740740741
"Houston",43,14,46,0.485436893203884
"Houston Baptist",23,7,20,0.53
"Howard",28,5,42,0.406666666666667
"Idaho",38,10,41,0.48314606741573
"Idaho St.",39,13,40,0.494565217391304
"Ill.-Chicago",13,3,19,0.414285714285714
"Illinois",74,5,29,0.708333333333333
"Illinois St.",71,7,24,0.730392156862745
"Incarnate Word",7,7,23,0.283783783783784
"Indiana",58,17,43,0.563559322033898
"Indiana St.",43,6,44,0.494623655913978
"Iona",33,13,55,0.391089108910891
"Iowa",62,6,43,0.585585585585586
"Iowa St.",39,8,45,0.467391304347826
"IPFW",19,5,44,0.316176470588235
"IUPUI",45,19,38,0.534313725490196
"Jackson St.",46,14,29,0.595505617977528
"Jacksonville",49,11,37,0.561855670103093
"Jacksonville St.",43,12,49,0.471153846153846
"James Madison",83,5,35,0.695121951219512
"Kansas",64,4,46,0.578947368421053
"Kansas St.",5,1,6,0.458333333333333
"Kennesaw St.",56,9,29,0.643617021276596
"Kent St.",65,7,32,0.658653846153846
"Kentucky",77,16,35,0.6640625
"Ky. Wesleyan",0,0,1,0
"La Salle",68,10,25,0.70873786407767
"La.-Lafayette",37,14,36,0.505747126436782
"La.-Monroe",37,3,69,0.353211009174312
"Lafayette",33,10,52,0.4
"Lamar",30,3,29,0.508064516129032
"Lamar University",7,1,6,0.535714285714286
"Lehigh",48,16,33,0.577319587628866
"LeTourneau",1,0,1,0.5
"Liberty",60,7,23,0.705555555555556
"Lincoln (PA)",0,0,2,0
"Lipscomb",33,11,50,0.409574468085106
"Little Rock",18,4,4,0.769230769230769
"LIU Brooklyn",50,5,33,0.596590909090909
"Long Beach St.",73,16,27,0.698275862068966
"Longwood",44,5,20,0.673913043478261
"Louisiana",3,0,5,0.375
"Louisiana Col.",0,0,5,0
"Louisiana Tech",58,11,29,0.647959183673469
"Louisville",62,13,38,0.606194690265487
"Loyola Chicago",55,8,39,0.57843137254902
"Loyola Maryland",49,15,30,0.601063829787234
"Loyola Marymount",72,15,33,0.6625
"LSU",67,22,31,0.65
"Lynn",0,0,1,0
"Maine",45,13,23,0.635802469135803
"Manhattan",43,12,39,0.521276595744681
"Marist",52,10,37,0.575757575757576
"Marquette",98,12,21,0.793893129770992
"Mars Hill",1,0,0,1
"Marshall",45,14,36,0.547368421052632
"Mary Washington",1,0,0,1
"Maryland",66,19,39,0.608870967741935
"Maryville (TN)",0,0,1,0
"Massachusetts",58,8,40,0.584905660377358
"McNeese",6,1,5,0.541666666666667
"McNeese St.",38,7,33,0.532051282051282
"Memphis",84,8,24,0.758620689655172
"Mercer",59,12,29,0.65
"Methodist",0,0,1,0
"Miami (FL)",60,8,38,0.60377358490566
"Miami (OH)",65,10,40,0.608695652173913
"Michigan",77,25,23,0.716
"Michigan St.",68,12,40,0.616666666666667
"Middle Tenn.",68,12,33,0.654867256637168
"Millsaps",5,0,5,0.5
"Milwaukee",83,12,19,0.780701754385965
"Minnesota",73,14,30,0.683760683760684
"Mississippi Col.",2,0,1,0.666666666666667
"Mississippi St.",41,11,62,0.407894736842105
"Mississippi Val.",42,12,34,0.545454545454545
"Missouri",80,9,31,0.704166666666667
"Missouri S&T",0,1,1,0.25
"Missouri St.",54,13,30,0.623711340206186
"Monmouth",82,7,17,0.806603773584906
"Montana",38,16,31,0.541176470588235
"Morehead St.",46,12,34,0.565217391304348
"Mt. St. Mary's",28,9,62,0.328282828282828
"Murray St.",59,7,34,0.625
"Navy",100,11,25,0.775735294117647
"NC State",10,1,1,0.875
"Neb. Omaha",3,2,12,0.235294117647059
"Nebraska",74,18,33,0.664
"Nevada",39,11,51,0.440594059405941
"New Hampshire",41,15,41,0.5
"New Mexico",56,13,28,0.644329896907217
"New Mexico St.",26,6,36,0.426470588235294
"Newberry",1,0,0,1
"Niagara",57,8,36,0.603960396039604
"Nicholls St.",31,8,46,0.411764705882353
"NJIT",21,7,39,0.365671641791045
"North Ala.",2,0,2,0.5
"North Carolina",103,8,19,0.823076923076923
"North Carolina St.",51,5,59,0.465217391304348
"North Dakota",12,6,32,0.3
"North Dakota St.",46,1,18,0.715384615384615
"North Florida",39,5,40,0.494047619047619
"North Texas",90,8,15,0.831858407079646
"Northeastern",64,15,30,0.655963302752294
"Northern Ariz.",59,18,30,0.635514018691589
"Northern Colo.",55,13,34,0.602941176470588
"Northern Ill.",42,20,42,0.5
"Northern Ky.",24,5,19,0.552083333333333
"Northwestern",58,15,47,0.545833333333333
"Northwestern St.",46,9,37,0.548913043478261
"Notre Dame",124,5,20,0.848993288590604
"Oakland",54,13,36,0.587378640776699
"Oglethorpe",0,0,2,0
"Ohio",47,10,47,0.5
"Ohio St.",90,13,30,0.725563909774436
"Oklahoma",54,16,44,0.543859649122807
"Oklahoma St.",98,12,18,0.8125
"Old Dominion",52,16,40,0.555555555555556
"Ole Miss",77,18,34,0.666666666666667
"Omaha",16,3,11,0.583333333333333
"Oral Roberts",47,7,38,0.548913043478261
"Oregon",55,14,47,0.53448275862069
"Oregon St.",53,17,46,0.530172413793103
"Ozarks (AR)",0,0,2,0
"Pacific",41,10,54,0.438095238095238
"Penn",71,14,24,0.715596330275229
"Penn St.",115,10,18,0.839160839160839
"Pepperdine",79,20,21,0.741666666666667
"Pfeiffer",1,0,0,1
"Pittsburgh",44,14,49,0.476635514018692
"Portland",92,7,29,0.74609375
"Portland St.",47,12,32,0.582417582417582
"Prairie View",33,5,34,0.493055555555556
"Presbyterian",27,8,48,0.373493975903614
"Princeton",63,12,24,0.696969696969697
"Providence",57,10,41,0.574074074074074
"Purdue",78,16,43,0.627737226277372
"Quincy",1,0,0,1
"Quinnipiac",51,11,28,0.627777777777778
"Radford",58,7,27,0.668478260869565
"Rhode Island",51,7,51,0.5
"Rhodes",0,0,1,0
"Rice",65,14,27,0.679245283018868
"Richmond",48,8,35,0.571428571428571
"Rider",48,13,32,0.586021505376344
"Robert Morris",39,13,41,0.489247311827957
"Rockhurst",1,0,0,1
"Rutgers",102,14,18,0.813432835820896
"S.C. Aiken",0,0,1,0
"S.C. Upstate",9,1,30,0.2375
"Sacramento St.",49,15,34,0.576530612244898
"Sacred Heart",42,10,32,0.55952380952381
"Saint Francis (PA)",61,14,28,0.660194174757282
"Saint Joseph's",60,12,34,0.622641509433962
"Saint Louis",63,18,29,0.654545454545455
"Saint Mary's (CA)",5,0,6,0.454545454545455
"Saint Peter's",13,2,82,0.144329896907216
"Sam Houston St.",43,6,35,0.547619047619048
"Samford",80,15,24,0.735294117647059
"San Diego",69,9,34,0.65625
"San Diego St.",76,17,27,0.704166666666667
"San Francisco",47,13,42,0.524509803921569
"San Jose St.",47,9,40,0.536458333333333
"Santa Clara",90,18,20,0.7734375
"Schreiner",2,1,0,0.833333333333333
"Seattle",29,2,9,0.75
"Seattle U",2,2,3,0.428571428571429
"Seton Hall",37,13,49,0.439393939393939
"Sewanee",0,0,2,0
"SFA",15,1,4,0.775
"Siena",65,12,23,0.71
"SIU Edwardsville",20,4,16,0.55
"SIUE",19,5,10,0.632352941176471
"SMU",68,11,37,0.633620689655172
"South Ala.",62,12,37,0.612612612612613
"South Carolina",103,9,20,0.814393939393939
"South Carolina St.",18,5,33,0.366071428571429
"South Dakota",17,5,24,0.423913043478261
"South Dakota St.",57,12,22,0.692307692307692
"South Fla.",69,18,27,0.684210526315789
"Southeast Mo. St.",52,18,23,0.655913978494624
"Southeastern La.",65,13,24,0.700980392156863
"Southern California",72,9,35,0.65948275862069
"Southern Ind.",0,0,2,0
"Southern Miss.",40,13,52,0.442857142857143
"Southern U.",20,4,55,0.278481012658228
"Southern Utah",27,11,37,0.433333333333333
"Southwest Baptist",0,0,1,0
"Southwestern (TX)",4,0,0,1
"St. Bonaventure",47,7,45,0.51010101010101
"St. John's (NY)",71,15,23,0.720183486238532
"St. Mary's (CA)",41,13,45,0.47979797979798
"St. Mary's (TX)",1,0,0,1
"Stanford",135,12,9,0.903846153846154
"Stephen F. Austin",56,1,11,0.830882352941177
"Stetson",39,7,35,0.524691358024691
"Stony Brook",56,14,34,0.605769230769231
"Syracuse",44,17,36,0.541237113402062
"TCU",55,14,41,0.563636363636364
"Temple",43,10,49,0.470588235294118
"Tennessee",77,11,32,0.6875
"Tennessee Tech",34,12,47,0.43010752688172
"Tex. A&M Int'l",0,1,0,0.5
"Tex. A&M-Commerce",1,0,0,1
"Tex.-Pan American",1,0,3,0.25
"Texas",80,19,27,0.71031746031746
"Texas A&M",121,9,18,0.847972972972973
"Texas Lutheran",3,0,1,0.75
"Texas Southern",32,2,38,0.458333333333333
"Texas St.",66,6,39,0.621621621621622
"Texas Tech",75,6,30,0.702702702702703
"Texas Woman's",1,0,1,0.5
"Texas-Dallas",1,1,0,0.75
"Texas-Tyler",0,1,1,0.25
"The Citadel",7,0,19,0.269230769230769
"Toledo",78,10,32,0.691666666666667
"Towson",37,8,49,0.436170212765957
"Trinity (TX)",4,0,0,1
"Troy",58,4,40,0.588235294117647
"Tulsa",67,13,37,0.628205128205128
"UAB",50,8,40,0.551020408163265
"UALR",38,3,40,0.487654320987654
"UC Davis",46,13,41,0.525
"UC Irvine",64,10,36,0.627272727272727
"UC Riverside",43,14,44,0.495049504950495
"UC Santa Barbara",55,14,39,0.574074074074074
"UC-Colo. Springs",0,0,1,0
"UCF",83,14,18,0.782608695652174
"UCLA",132,10,12,0.88961038961039
"UConn",37,3,6,0.83695652173913
"UL Lafayette",8,1,9,0.472222222222222
"UMass Lowell",16,4,20,0.45
"UMBC",33,15,51,0.409090909090909
"UMKC",34,11,25,0.564285714285714
"UNC Asheville",35,3,58,0.380208333333333
"UNC Greensboro",52,8,27,0.64367816091954
"UNC Pembroke",1,0,0,1
"UNC Wilmington",38,5,26,0.58695652173913
"UNCG",14,5,11,0.55
"UNCW",20,6,9,0.657142857142857
"UNI",28,9,41,0.416666666666667
"Union (TN)",0,0,1,0
"UNLV",68,9,31,0.671296296296296
"USC Upstate",7,7,33,0.223404255319149
"UT Martin",59,7,30,0.651041666666667
"Utah",70,14,34,0.652542372881356
"Utah St.",65,17,23,0.7
"Utah Valley",40,8,16,0.6875
"UTEP",78,9,29,0.711206896551724
"UTRGV",11,2,9,0.545454545454545
"UTSA",33,13,45,0.434065934065934
"Valparaiso",58,16,29,0.640776699029126
"Vanderbilt",53,16,47,0.525862068965517
"VCU",54,21,28,0.62621359223301
"Vermont",37,17,45,0.45959595959596
"Villanova",60,13,42,0.578260869565217
"Virginia",133,11,18,0.854938271604938
"Virginia Tech",76,16,31,0.682926829268293
"VMI",34,2,59,0.368421052631579
"Wagner",33,11,54,0.392857142857143
"Wake Forest",78,11,29,0.707627118644068
"Washington",56,12,40,0.574074074074074
"Washington St.",65,12,30,0.663551401869159
"Washington-St. Louis",1,0,0,1
"Weber St.",33,10,40,0.457831325301205
"West Ala.",1,0,0,1
"West Virginia",115,17,16,0.834459459459459
"Western Caro.",54,8,43,0.552380952380952
"Western Ill.",34,5,36,0.486666666666667
"Western Ky.",74,9,27,0.713636363636364
"Western Mich.",53,14,32,0.606060606060606
"Westminster (UT)",0,0,2,0
"William & Mary",79,8,26,0.734513274336283
"Wilmington (DE)",0,1,0,0.5
"Winthrop",47,13,38,0.545918367346939
"Wisconsin",73,14,27,0.701754385964912
"Wofford",37,16,46,0.454545454545455
"Wright St.",59,10,24,0.688172043010753
"Wyoming",55,13,40,0.569444444444444
"Xavier",41,12,46,0.474747474747475
"Yale",63,13,32,0.643518518518518
"Youngstown St.",25,11,51,0.350574712643678
